model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_36,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.2433,0.2433
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_4,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.3333,,0.6333,0.6333
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_4,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.7559,0.42,0.42
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_5,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0367,0.0367
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_5,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0133,0.0133
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_6,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4667,,0.4033,0.4033
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_6,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.5641,0.55,0.55
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_7,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0,0.0
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_7,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.0693,0.0693
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_8,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.6667,,0.5833,0.5833
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_8,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.6614,0.522,0.522
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_9,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.09,0.09
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_144449_9,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.012,0.012
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_1,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.03,0.03
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_1,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.12,0.12
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_10,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.2667,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_10,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,0.0403,0.368,0.368
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0,0.0
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.1133,0.1133
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4,,0.51,0.51
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.491,0.4567,0.4567
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.0847,0.0847
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.0793,0.0793
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.6667,,0.5267,0.5267
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,-0.189,0.5,0.5
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0633,0.0633
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.086,0.086
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.5333,,0.52,0.52
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.3669,0.5333,0.5333
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.0527,0.0527
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.208,0.208
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.6667,,0.49,0.49
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,0.4725,0.5067,0.5067
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1933,0.1933
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.0767,0.0767
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.6667,,0.54,0.54
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.2,0.5467,0.5467
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.2,0.2
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.15,0.15
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.0053,0.0053
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.11,0.11
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.4667,,0.5067,0.5067
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,0.1964,0.5067,0.5067
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.2267,0.2267
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.6,0.6
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,0.9667,0.9667
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1067,0.1067
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.09,0.09
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4667,,0.5333,0.5333
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.3273,0.4667,0.4667
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0733,0.0733
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0133,0.0133
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5333,,0.4167,0.4167
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,0.6071,0.5333,0.5333
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_29,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0633,0.0633
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_29,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0847,0.0847
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_3,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.1,0.1
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_3,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.07,0.07
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_30,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.2667,,0.44,0.44
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_30,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.7385,0.6067,0.6067
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_31,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.0633,0.0633
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_31,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.0773,0.0773
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_32,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.3333,,0.4867,0.4867
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_32,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,-0.4725,0.45,0.45
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_33,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.1733,0.1733
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_33,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.1027,0.1027
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_34,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.8667,,0.46,0.46
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_34,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.207,0.56,0.56
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_35,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.0533,0.0533
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_35,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.0733,0.0733
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_36,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.6667,,0.64,0.64
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_36,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,0.3536,0.7,0.7
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_4,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.2667,,0.5133,0.5133
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_4,ai_vs_human_blind,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.8528,0.388,0.388
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_5,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.098,0.098
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_5,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_6,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.6,,0.51,0.51
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_6,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.7385,0.6333,0.6333
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_7,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0053,0.0053
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_7,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.0907,0.0907
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_8,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.5333,,0.4527,0.4527
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_8,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.1964,0.57,0.57
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_9,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0533,0.0533
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260520_152832_9,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_1,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0813,0.0813
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_1,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.1433,0.1433
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_10,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4,,0.34,0.34
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_10,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.3733,0.3733
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.0133,0.0133
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_11,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.13,0.13
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4667,,0.5173,0.5173
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_12,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.6071,0.52,0.52
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.0947,0.0947
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_13,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.1187,0.1187
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.6,,0.4967,0.4967
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_14,ai_vs_human_blind,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.1111,0.5067,0.5067
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0667,0.0667
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_15,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.064,0.064
Claude Sonnet,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.4,,0.5233,0.5233
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_16,ai_vs_human_blind,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.2182,0.49,0.49
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.1,0.1
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_17,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.41,0.41
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.7333,,0.5433,0.5433
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_18,ai_vs_human_blind,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,0.3425,0.4733,0.4733
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1167,0.1167
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_19,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.1367,0.1367
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.8,,0.5,0.5
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_2,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.3536,0.42,0.42
GPT-4o-mini,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.42,0.42
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_20,ai_vs_human_blind,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.38,0.38
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.0133,0.0133
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_21,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.2533,0.2533
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.3333,,0.678,0.678
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_22,ai_vs_human_blind,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.46,0.46
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_23,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_24,ai_vs_human_blind,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,0.1773,0.1773
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1047,0.1047
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_25,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.0973,0.0973
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.6,,0.49,0.49
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_26,ai_vs_human_blind,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.0546,0.55,0.55
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.0713,0.0713
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_27,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0167,0.0167
Claude Opus,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4,,0.5167,0.5167
Gemini 2.5 Flash,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_28,ai_vs_human_blind,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.0,0.5667,0.5667
GPT-4o,ct_cheap_talk_results_ai_vs_human_blind_20260602_154807_29,ai_vs_human_blind,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.2173,0.2173
