model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.7638,0.1
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_185203_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.57
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4,,,,-0.7638,0.5
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.2,0.8,,0.098
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_185203_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.8292,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.2,1.0,0.2,0.8,,0.62
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260603_185203_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.2,,,,-0.8292,0.2333
Claude Opus,ct_cheap_talk_results_human_prior_20260603_185203_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.7333,1.0,0.7333,0.2667,,0.5167
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.7333,,,,0.5641,0.66
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.096
Claude Opus,ct_cheap_talk_results_human_prior_20260603_185203_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,-0.2182,0.0533
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.52
Claude Opus,ct_cheap_talk_results_human_prior_20260603_185203_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,0.4,,,,-0.2182,0.4667
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_185203_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6667,0.3333,,0.0787
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.866,0.1513
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_185203_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6667,1.0,0.6667,0.3333,,0.424
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6667,,,,0.866,0.5633
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.0993
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_185203_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,0.0,0.2013
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,0.3333,1.0,0.3333,0.6667,,0.5007
Claude Sonnet,ct_cheap_talk_results_human_prior_20260603_185203_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,0.3333,,,,0.0,0.4333
GPT-4o,ct_cheap_talk_results_human_prior_20260603_185203_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.11
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260603_185203_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.533,0.116
GPT-4o,ct_cheap_talk_results_human_prior_20260604_101159_1,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,,,,0.11
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101159_1,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,,0.032
Claude Opus,ct_cheap_talk_results_human_prior_20260604_101331_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.0873
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.0546,0.0167
GPT-4o,ct_cheap_talk_results_human_prior_20260604_101331_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.5533
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6,,,,0.0,0.5267
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.0513
GPT-4o,ct_cheap_talk_results_human_prior_20260604_101331_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,-0.378,0.1133
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.4213
GPT-4o,ct_cheap_talk_results_human_prior_20260604_101331_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,0.4667,,,,-0.378,0.5733
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_101331_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0133
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.0,0.0173
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_101331_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.4
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6,,,,0.0,0.51
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.7333,0.2667,,0.038
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_101331_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,0.5641,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.7333,1.0,0.7333,0.2667,,0.52
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_101331_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.7333,,,,0.5641,0.6667
Claude Opus,ct_cheap_talk_results_human_prior_20260604_101331_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.5333,1.0,0.5333,0.4667,,0.4933
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.5333,,,,-0.0546,0.5267
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.0393
Claude Opus,ct_cheap_talk_results_human_prior_20260604_101331_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.0546,0.0533
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.46
Claude Opus,ct_cheap_talk_results_human_prior_20260604_101331_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,0.4,,,,0.0546,0.4267
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_101331_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.0687
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.2132,0.0213
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_101331_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.3333,1.0,0.3333,0.6667,,0.55
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.3333,,,,-0.2132,0.4633
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0473
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_101331_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,0.1667,0.1127
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.472
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_101331_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,0.6,,,,0.1667,0.5267
GPT-4o,ct_cheap_talk_results_human_prior_20260604_101331_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.1133
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_101331_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.0,0.0167
Claude Opus,ct_cheap_talk_results_human_prior_20260604_134912_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.0347
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.1964,0.0
GPT-4o,ct_cheap_talk_results_human_prior_20260604_134912_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.56
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4667,,,,-0.4643,0.4933
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.0,1.0,,0.1
GPT-4o,ct_cheap_talk_results_human_prior_20260604_134912_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.1267
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,0.0,1.0,0.0,1.0,,0.4
GPT-4o,ct_cheap_talk_results_human_prior_20260604_134912_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,0.0,,,,,0.3267
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_134912_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.0945,0.0
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_134912_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.3333,1.0,0.3333,0.6667,,0.5
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.3333,,,,0.0945,0.4933
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.0,1.0,,0.1
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_134912_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.0,1.0,0.0,1.0,,0.5967
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260604_134912_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.0,,,,,0.0
Claude Opus,ct_cheap_talk_results_human_prior_20260604_134912_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.4833
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4667,,,,0.1964,0.4967
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.0,1.0,,0.15
Claude Opus,ct_cheap_talk_results_human_prior_20260604_134912_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,0.0533
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,0.0,1.0,0.0,1.0,,0.5
Claude Opus,ct_cheap_talk_results_human_prior_20260604_134912_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,0.0,,,,,0.1367
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_134912_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.076
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.6001,0.0
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_134912_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.5567
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4,,,,-0.6001,0.4433
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.0,1.0,,0.1
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_134912_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,0.1073
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,0.0,1.0,0.0,1.0,,0.4933
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_134912_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,0.0,,,,,0.13
GPT-4o,ct_cheap_talk_results_human_prior_20260604_134912_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.1
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_134912_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.4643,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_185506_1,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.02
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_185506_1,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,-0.4082,0.25
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260604_185506_2,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.57
Claude Sonnet,ct_cheap_talk_results_human_prior_20260604_185506_2,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,0.4,,,,-0.4082,0.51
Claude Opus,ct_cheap_talk_results_human_prior_20260605_125717_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.0913
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.1964,0.0193
GPT-4o,ct_cheap_talk_results_human_prior_20260605_125717_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.5267
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4667,,,,-0.0714,0.4933
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.046
GPT-4o,ct_cheap_talk_results_human_prior_20260605_125717_11,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,0.0,0.1167
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.4667
GPT-4o,ct_cheap_talk_results_human_prior_20260605_125717_12,human_prior,CT,Human Prior (Gneezy 2005) (S) vs GPT-4o (R),,,,,,,receiver,0.6,,,,0.0,0.5833
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260605_125717_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_13,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.0546,0.022
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260605_125717_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.5
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_14,human_prior,CT,Gemini 2.5 Flash (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4667,,,,-0.0546,0.51
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.0493
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260605_125717_15,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.7559,0.0
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5333,1.0,0.5333,0.4667,,0.586
Gemini 2.5 Flash,ct_cheap_talk_results_human_prior_20260605_125717_16,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5333,,,,-0.7559,0.5333
Claude Opus,ct_cheap_talk_results_human_prior_20260605_125717_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.48
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_2,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.4667,,,,-0.1964,0.48
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.0447
Claude Opus,ct_cheap_talk_results_human_prior_20260605_125717_3,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.4643,0.0567
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,sender,0.5333,1.0,0.5333,0.4667,,0.47
Claude Opus,ct_cheap_talk_results_human_prior_20260605_125717_4,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Opus (R),,,,,,,receiver,0.5333,,,,0.4643,0.44
Claude Sonnet,ct_cheap_talk_results_human_prior_20260605_125717_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.06
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_5,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,0.0,0.018
Claude Sonnet,ct_cheap_talk_results_human_prior_20260605_125717_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.5067
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_6,human_prior,CT,Claude Sonnet (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6,,,,0.0,0.5567
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.0447
Claude Sonnet,ct_cheap_talk_results_human_prior_20260605_125717_7,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,-0.7638,0.1047
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.5353
Claude Sonnet,ct_cheap_talk_results_human_prior_20260605_125717_8,human_prior,CT,Human Prior (Gneezy 2005) (S) vs Claude Sonnet (R),,,,,,,receiver,0.4,,,,-0.7638,0.4733
GPT-4o,ct_cheap_talk_results_human_prior_20260605_125717_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.1
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_125717_9,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.0714,0.0207
Claude Opus,ct_cheap_talk_results_human_prior_20260605_131323_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0973
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_131323_1,human_prior,CT,Claude Opus (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,1.0,,,,-0.1667,0.0313
GPT-4o,ct_cheap_talk_results_human_prior_20260605_131323_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.52
Human Prior (Gneezy 2005),ct_cheap_talk_results_human_prior_20260605_131323_10,human_prior,CT,GPT-4o (S) vs Human Prior (Gneezy 2005) (R),,,,,,,receiver,0.6,,,,-0.0546,0.5467
